Date,AAPL,MSFT,TSLA,AMZN,GOOG,GOOGL,META,JPM,BAC
2015-01-02,24.603206634521484,40.811424255371094,14.620667457580566,15.425999641418457,26.16865348815918,26.477500915527344,78.44999694824219,50.30537033081055,15.366436004638672
2015-01-05,23.910093307495117,40.43612289428711,14.005999565124512,15.10949993133545,25.623151779174805,25.972999572753906,77.19000244140625,48.743629455566406,14.920032501220703
2015-01-06,23.91234588623047,39.842647552490234,14.085332870483398,14.76449966430664,25.029281616210938,25.332000732421875,76.1500015258789,47.47976303100586,14.473638534545898
2015-01-07,24.24764633178711,40.34885025024414,14.063332557678223,14.920999526977539,24.986400604248047,25.25749969482422,76.1500015258789,47.55221939086914,14.542315483093262
2015-01-08,25.179298400878906,41.53585433959961,14.041333198547363,15.02299976348877,25.065183639526367,25.345500946044922,78.18000030517578,48.61483383178711,14.842775344848633
2015-01-09,25.206302642822266,41.18672180175781,13.77733325958252,14.846500396728516,24.740575790405273,25.035999298095703,77.73999786376953,47.76956558227539,14.576655387878418
2015-01-12,24.585201263427734,40.671775817871094,13.480667114257812,14.570500373840332,24.560070037841797,24.85300064086914,76.72000122070312,47.359012603759766,14.31911563873291
2015-01-13,24.803491592407227,40.46232604980469,13.616666793823242,14.737000465393066,24.741073608398438,25.09000015258789,76.44999694824219,47.3670654296875,14.12166976928711
2015-01-14,24.708972930908203,40.11320877075195,12.845999717712402,14.66349983215332,24.974931716918945,25.296499252319336,76.27999877929688,45.73288345336914,13.769700050354004
2015-01-15,24.03836441040039,39.69425964355469,12.791333198547363,14.34749984741211,25.02080535888672,25.20050048828125,74.05000305175781,44.26776123046875,13.048592567443848
2015-01-16,23.851579666137695,40.357582092285156,12.871333122253418,14.536999702453613,25.334444046020508,25.523000717163086,75.18000030517578,45.024471282958984,13.203116416931152
2015-01-20,24.465930938720703,40.488502502441406,12.795332908630371,14.472000122070312,25.275606155395508,25.496999740600586,76.23999786376953,44.84736633300781,13.10010051727295
2015-01-21,24.652711868286133,40.07828140258789,13.104666709899902,14.862500190734863,25.83108139038086,26.019500732421875,76.73999786376953,44.99226379394531,13.22887134552002
2015-01-22,25.294065475463867,41.13437271118164,13.441332817077637,15.515999794006348,26.64634132385254,26.864999771118164,77.6500015258789,46.36079025268555,13.812623977661133
2015-01-23,25.424583435058594,41.17800521850586,13.419333457946777,15.619500160217285,26.923580169677734,27.09749984741211,77.83000183105469,45.62823486328125,13.503572463989258
2015-01-26,25.451587677001953,41.02961730957031,13.770000457763672,15.482999801635742,26.68722915649414,26.836000442504883,77.5,45.7006721496582,13.606590270996094
2015-01-27,24.560443878173828,37.23301315307617,13.732000350952148,15.337499618530273,25.86050033569336,26.059499740600586,75.77999877929688,45.241825103759766,13.417729377746582
2015-01-28,25.948923110961914,35.95001220703125,13.291333198547363,15.195500373840332,25.4301815032959,25.62150001525879,76.23999786376953,44.074546813964844,13.048592567443848
2015-01-29,26.756803512573242,36.66569900512695,13.680000305175781,15.58899974822998,25.463090896606445,25.661500930786133,78.0,44.81516647338867,13.246038436889648
